pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,zone,des,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,fielder_2,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
SL,2024-04-06,83.1,1.26,6.2,"Devers, Rafael",646240,672282,field_out,hit_into_play,6.0,Rafael Devers flies out to center fielder Mike Trout.,L,L,LAA,BOS,X,8.0,fly_ball,0,1,-0.3,-0.14,0.28,2.69,,,,2,6,Top,126.42,101.24,681351,,-1.64872665379319,-121.109658792497,-1.3504491845585,-2.63313568055904,22.5633977923391,-33.5081031179316,3.32,1.51,299.0,82.9,32.0,82.9,2362.0,5.9,746248,694384,650859,543685,687263,621493,545361,666160,54.55,0.031,0.033,0.0,1.0,0.0,0.0,3.0,43,2,Slider,0,1,1,0,1,0,1,0,Infield shade,Standard,282.0,0.012,-0.082,66.0384293951676,7.01106
FF,2024-04-06,93.5,1.09,6.13,"Devers, Rafael",646240,672282,,called_strike,13.0,Rafael Devers flies out to center fielder Mike Trout.,L,L,LAA,BOS,S,,,0,0,1.09,1.29,-0.89,2.34,,,,2,6,Top,,,681351,,-7.43684602630124,-135.868443750299,-6.81024324548271,15.0954534134806,30.6439517686149,-14.8526823351812,3.37,1.53,,,,92.8,2156.0,6.0,746248,694384,650859,543685,687263,621493,545361,666160,54.46,,,,,,,,43,1,4-Seam Fastball,0,1,1,0,1,0,1,0,Infield shade,Standard,175.0,0.0,-0.015,,
CU,2024-04-06,74.6,1.42,6.31,"Reyes, Pablo",622569,672282,strikeout,called_strike,7.0,Pablo Reyes called out on strikes.,R,L,LAA,BOS,S,2.0,,2,2,-0.49,-1.49,-0.46,1.67,,,,1,6,Top,,,681351,,-2.96257611159269,-108.512066881618,0.386178312808894,-3.23208371872387,22.0313787720281,-44.15140390946,3.26,1.56,,,,73.4,2578.0,5.7,746248,694384,650859,543685,687263,621493,545361,666160,54.75,,0.0,0.0,1.0,0.0,0.0,,42,6,Curveball,0,1,1,0,1,0,1,0,Standard,Standard,331.0,0.018,-0.143,,
FF,2024-04-06,93.7,1.58,6.05,"Reyes, Pablo",622569,672282,,ball,12.0,Pablo Reyes called out on strikes.,R,L,LAA,BOS,B,,,1,2,0.46,1.62,0.01,4.31,,,,1,6,Top,,,681351,,-5.02970815204853,-136.357561228352,-2.27693630909402,6.92422037789157,32.5237244988559,-11.7895857268262,3.28,1.62,,,,92.5,2223.0,5.7,746248,694384,650859,543685,687263,621493,545361,666160,54.77,,,,,,,,42,5,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,151.0,0.0,0.024,,
CH,2024-04-06,83.9,1.16,6.23,"Reyes, Pablo",622569,672282,,foul,14.0,Pablo Reyes called out on strikes.,R,L,LAA,BOS,S,,,1,2,0.85,1.08,0.46,1.09,,,,1,6,Top,,,681351,,-3.26472913029159,-121.943128854814,-7.55426368597406,9.14877869179913,24.0736199562511,-20.1245876167576,3.33,1.62,129.0,55.3,56.0,83.1,1714.0,5.8,746248,694384,650859,543685,687263,621493,545361,666160,54.67,,,,,,,,42,4,Changeup,0,1,1,0,1,0,1,0,Standard,Standard,166.0,0.0,0.0,51.562215492472,7.54361
CH,2024-04-06,85.5,1.28,6.18,"Reyes, Pablo",622569,672282,,swinging_strike,7.0,Pablo Reyes called out on strikes.,R,L,LAA,BOS,S,,,1,1,0.83,0.91,-0.34,1.98,,,,1,6,Top,,,681351,,-5.46039335575476,-124.303670845393,-5.41490040245388,9.65783222477238,24.8920619317065,-21.8664232780635,3.33,1.62,,,,85.1,1671.0,6.1,746248,694384,650859,543685,687263,621493,545361,666160,54.41,,,,,,,,42,3,Changeup,0,1,1,0,1,0,1,0,Standard,Standard,154.0,0.0,-0.038,63.9074134120897,8.17587
FF,2024-04-06,93.0,1.33,6.2,"Reyes, Pablo",622569,672282,,swinging_strike,5.0,Pablo Reyes called out on strikes.,R,L,LAA,BOS,S,,,1,0,0.57,1.83,0.13,2.28,,,,1,6,Top,,,681351,,-4.29282408857408,-135.144447630475,-8.16144037910085,7.95000741591059,30.8713718949859,-8.20656828557314,3.33,1.62,,,,92.1,2237.0,5.9,746248,694384,650859,543685,687263,621493,545361,666160,54.56,,,,,,,,42,2,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,152.0,0.0,-0.03,73.5441761220659,7.28521
FF,2024-04-06,93.2,1.08,6.27,"Reyes, Pablo",622569,672282,,ball,13.0,Pablo Reyes called out on strikes.,R,L,LAA,BOS,B,,,0,0,0.66,1.71,-0.02,1.34,,,,1,6,Top,,,681351,,-4.25397520388517,-135.320461534644,-10.539038797959,9.00483084100225,30.3981104151031,-9.07803321438247,3.36,1.58,,,,92.6,2308.0,6.1,746248,694384,650859,543685,687263,621493,545361,666160,54.39,,,,,,,,42,1,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,155.0,0.0,0.025,,
FF,2024-04-06,93.0,1.21,6.17,"Duran, Jarren",680776,672282,strikeout,swinging_strike,1.0,Jarren Duran strikes out swinging.,L,L,LAA,BOS,S,2.0,,0,2,0.66,1.68,-0.63,3.32,,,,0,6,Top,,,681351,,-6.12543507028978,-135.281425092011,-5.15721560118508,9.43197290677241,30.587839025969,-10.6834386956917,3.36,1.62,,,,92.3,2225.0,6.0,746248,694384,650859,543685,687263,621493,545361,666160,54.54,,0.0,0.0,1.0,0.0,0.0,,41,3,4-Seam Fastball,0,1,1,0,1,0,1,0,Infield shade,Standard,155.0,0.024,-0.147,64.2344047432674,6.13164
FF,2024-04-06,92.9,1.29,6.23,"Duran, Jarren",680776,672282,,foul,3.0,Jarren Duran strikes out swinging.,L,L,LAA,BOS,S,,,0,1,1.13,1.36,0.71,3.32,,,,0,6,Top,,,681351,,-3.9459022428133,-135.223897075685,-4.62917011176015,14.744087005267,30.6538881489817,-14.6734434464822,3.36,1.62,137.0,53.4,49.0,92.3,,6.0,746248,694384,650859,543685,687263,621493,545361,666160,54.47,,,,,,,,41,2,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,,0.0,-0.047,68.1471703870548,6.22362
