pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,zone,des,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,fielder_2,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
FF,2024-04-03,95.1,-2.19,5.93,"Vargas, Ildemaro",545121,656605,double,hit_into_play,5.0,Ildemaro Vargas doubles (1) on a ground ball to left fielder Jack Suwinski.   Luis García Jr.  scores.,L,R,WSH,PIT,X,7.0,ground_ball,1,1,-0.93,1.31,0.12,2.27,,671277.0,,1,6,Bot,72.07,140.72,680779,,8.07140614698074,-138.178589453911,-6.86731405468327,-13.6155451456027,28.2064647345521,-14.0483370737491,3.28,1.48,19.0,96.3,-6.0,94.9,2327.0,6.1,744869,642133,669707,663647,665833,669261,572191,668804,54.41,0.246,0.228,1.25,1.0,1.0,1.0,2.0,52,3,4-Seam Fastball,4,3,4,3,3,5,5,3,Standard,Standard,222.0,0.099,0.996,66.7382823759571,6.11034
ST,2024-04-03,80.0,-1.88,6.14,"Vargas, Ildemaro",545121,656605,,blocked_ball,14.0,Ildemaro Vargas doubles (1) on a ground ball to left fielder Jack Suwinski.   Luis García Jr.  scores.,L,R,WSH,PIT,B,,,0,1,1.26,-0.68,1.37,0.49,,671277.0,,1,6,Bot,,,680779,,4.80453454252474,-116.241669639188,-4.31614141540233,10.1689593720173,26.1098351188373,-37.5581956743334,3.27,1.55,,,,79.5,2678.0,6.5,744869,642133,669707,663647,665833,669261,572191,668804,54.03,,,,,,,,52,2,Sweeper,4,3,4,3,3,4,4,3,Standard,Standard,39.0,0.0,0.02,,
FC,2024-04-03,88.5,-2.23,6.03,"Vargas, Ildemaro",545121,656605,,called_strike,2.0,Ildemaro Vargas doubles (1) on a ground ball to left fielder Jack Suwinski.   Luis García Jr.  scores.,L,R,WSH,PIT,S,,,0,0,0.21,0.46,0.12,2.7,,671277.0,,1,6,Bot,,,680779,,5.25007900349814,-128.754285620003,-3.00293972403446,1.16855424027746,27.2165620121142,-26.6258127794779,3.23,1.49,,,,87.8,2341.0,5.9,744869,642133,669707,663647,665833,669261,572191,668804,54.61,,,,,,,,52,1,Cutter,4,3,4,3,3,4,4,3,Standard,Standard,191.0,0.0,-0.041,,
CU,2024-04-03,78.2,-2.09,6.16,"García Jr., Luis",671277,656605,double,hit_into_play,7.0,Luis García Jr.  doubles (4) on a line drive to left fielder Jack Suwinski.,L,R,WSH,PIT,X,7.0,line_drive,0,0,1.06,-0.99,-0.77,2.24,,,,1,6,Bot,36.32,113.67,680779,,0.882577861969068,-113.849021278658,0.285658473743613,8.98979506449161,22.3664453388633,-41.0417814143452,3.55,1.71,223.0,97.4,12.0,77.7,2601.0,6.0,744869,642133,669707,663647,665833,669261,572191,668804,54.47,0.94,0.909,1.25,1.0,1.0,1.0,4.0,51,1,Curveball,4,3,4,3,3,4,4,3,Standard,Standard,44.0,0.04,0.414,67.1965195008982,6.84834
FC,2024-04-03,88.4,-2.07,6.07,"Lipscomb, Trey",702358,656605,field_out,hit_into_play,5.0,"Trey Lipscomb grounds out, first baseman Rowdy Tellez to pitcher Mitch Keller.",R,R,WSH,PIT,X,3.0,ground_ball,0,1,0.3,0.28,0.28,2.22,,,,0,6,Bot,144.02,166.76,680779,,5.09436141543116,-128.824273474982,-4.01460277488789,2.48590939869184,22.8900645509393,-28.4811730057633,3.49,1.6,5.0,62.2,-24.0,89.2,2449.0,6.4,744869,642133,669707,663647,665833,669261,572191,668804,54.12,0.04,0.039,0.0,1.0,0.0,0.0,2.0,50,2,Cutter,4,3,4,3,3,4,4,3,Standard,Standard,163.0,-0.021,-0.194,76.3064805931459,8.13572
FF,2024-04-03,92.8,-2.03,5.88,"Lipscomb, Trey",702358,656605,,called_strike,9.0,"Trey Lipscomb grounds out, first baseman Rowdy Tellez to pitcher Mitch Keller.",R,R,WSH,PIT,S,,,0,0,-0.9,1.4,0.55,1.96,,,,0,6,Bot,,,680779,,8.60885612608199,-134.779499677846,-7.34073967933977,-12.8607963040149,28.914532712554,-13.6090911355877,3.52,1.77,,,,93.3,2152.0,6.6,744869,642133,669707,663647,665833,669261,572191,668804,53.87,,,,,,,,50,1,4-Seam Fastball,4,3,4,3,3,4,4,3,Standard,Standard,223.0,0.0,-0.033,,
CU,2024-04-03,80.8,-1.84,6.06,"Rosario, Eddie",592696,656605,strikeout,swinging_strike,14.0,Eddie Rosario strikes out swinging.,L,R,WSH,PIT,S,2.0,,1,2,1.21,-1.09,0.47,1.35,,,608841.0,2,5,Bot,,,680779,,2.86160245765854,-117.5457006371,-1.68417210176101,10.5131111052751,24.7317304365923,-42.071753227182,3.42,1.65,,,,81.1,2687.0,6.8,744869,642133,669707,663647,665833,669261,572191,668804,53.74,,0.0,0.0,1.0,0.0,0.0,,44,5,Curveball,4,2,4,2,2,4,4,2,Standard,Standard,31.0,-0.014,-0.167,65.7556732085593,8.3819
CU,2024-04-03,80.1,-1.91,6.08,"Rosario, Eddie",592696,656605,,blocked_ball,13.0,Eddie Rosario strikes out swinging.,L,R,WSH,PIT,B,,,0,2,0.88,-1.25,-0.07,0.65,,,608841.0,2,5,Bot,,,680779,,2.41871577138045,-116.703236811829,-2.93101752202182,7.51314704920826,22.887642963921,-43.2300384272909,3.33,1.67,,,,80.5,2780.0,6.6,744869,642133,669707,663647,665833,669261,572191,668804,53.91,,,,,,,,44,4,Curveball,4,2,4,2,2,4,4,2,Standard,Standard,35.0,0.0,0.026,,
FF,2024-04-03,96.4,-2.18,5.78,"Rosario, Eddie",592696,656605,,foul,5.0,Eddie Rosario strikes out swinging.,L,R,WSH,PIT,S,,,0,2,-0.96,1.19,0.19,2.58,,,608841.0,2,5,Bot,,,680779,,8.4623275174565,-140.076397180499,-5.63177863741294,-14.5231278195705,30.7149102861469,-15.4222794658348,3.42,1.65,157.0,80.2,13.0,96.6,2403.0,6.4,744869,642133,669707,663647,665833,669261,572191,668804,54.11,,,,,,,,44,3,4-Seam Fastball,4,2,4,2,2,4,4,2,Standard,Standard,221.0,0.0,0.0,72.1674204108592,6.85986
FF,2024-04-03,95.0,-2.11,5.9,"Rosario, Eddie",592696,656605,,foul_tip,2.0,Eddie Rosario strikes out swinging.,L,R,WSH,PIT,S,,,0,1,-0.92,1.19,-0.21,3.36,,,608841.0,2,5,Bot,,,680779,,6.9894926548063,-138.260641769823,-3.69083764460067,-13.2767344126503,27.5091046891546,-16.2234175203174,3.42,1.65,,,,95.0,2388.0,6.1,744869,642133,669707,663647,665833,669261,572191,668804,54.44,,,,,,,,44,2,4-Seam Fastball,4,2,4,2,2,4,4,2,Standard,Standard,223.0,0.0,-0.045,64.0487358528067,5.71107
