pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,zone,des,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,fielder_2,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
FS,2024-04-03,90.1,-2.36,5.3,"Ramírez, Harold",623912,543135,strikeout,swinging_strike,13.0,Harold Ramírez strikes out swinging.,R,R,TB,TEX,S,2.0,,2,2,-1.15,-0.29,-1.04,1.09,,,,2,7,Bot,,,641680,,5.70303103773882,-131.124412134859,-3.86766209917003,-14.4709599650671,28.5773073731408,-34.8217202502801,3.25,1.49,,,,89.6,1641.0,6.1,745114,665120,543760,677649,669701,694671,665750,666969,54.44,,0.0,0.0,1.0,0.0,0.0,,50,6,Split-Finger,0,1,0,1,1,0,0,1,Standard,Standard,244.0,-0.023,-0.084,77.2649461629298,7.7928
FF,2024-04-03,97.3,-2.4,5.22,"Ramírez, Harold",623912,543135,,ball,14.0,Harold Ramírez strikes out swinging.,R,R,TB,TEX,B,,,1,2,-1.26,0.99,1.36,1.52,,,,2,7,Bot,,,641680,,12.8753091805767,-140.913821935045,-6.54854677820532,-19.8647893801557,34.5518236479132,-17.5730337644696,3.26,1.56,,,,96.3,2270.0,6.1,745114,665120,543760,677649,669701,694671,665750,666969,54.35,,,,,,,,50,5,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,230.0,0.0,0.017,,
CU,2024-04-03,77.9,-2.1,5.47,"Ramírez, Harold",623912,543135,,ball,14.0,Harold Ramírez strikes out swinging.,R,R,TB,TEX,B,,,0,2,1.0,-0.62,1.03,0.07,,,,2,7,Bot,,,641680,,4.89155768818788,-113.340464362181,-3.49993554578115,7.56130826867911,23.2583371519681,-36.9719444690497,3.26,1.53,,,,77.9,2022.0,6.6,745114,665120,543760,677649,669701,694671,665750,666969,53.91,,,,,,,,50,4,Curveball,0,1,0,1,1,0,0,1,Standard,Standard,40.0,0.0,0.008,,
FF,2024-04-03,96.7,-2.49,5.03,"Ramírez, Harold",623912,543135,,foul,6.0,Harold Ramírez strikes out swinging.,R,R,TB,TEX,S,,,0,2,-1.26,1.01,0.32,2.6,,,,2,7,Bot,,,641680,,10.4789868036963,-140.422454636739,-3.22553785716208,-19.0363695830479,33.0091354083715,-18.293370170224,3.25,1.49,267.0,91.2,18.0,97.7,2209.0,7.0,745114,665120,543760,677649,669701,694671,665750,666969,53.46,,,,,,,,50,3,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,236.0,0.0,0.0,68.9120168688396,6.29951
FS,2024-04-03,88.2,-2.42,5.41,"Ramírez, Harold",623912,543135,,foul_tip,13.0,Harold Ramírez strikes out swinging.,R,R,TB,TEX,S,,,0,1,-1.27,-0.13,-0.88,1.86,,,,2,7,Bot,,,641680,,6.38790233033521,-128.366708295002,-2.28881580769365,-15.304617210073,25.6152944834799,-33.3638177892309,3.25,1.49,,,,88.6,1724.0,6.4,745114,665120,543760,677649,669701,694671,665750,666969,54.06,,,,,,,,50,2,Split-Finger,0,1,0,1,1,0,0,1,Standard,Standard,245.0,0.0,-0.023,79.4592171116029,7.96483
FS,2024-04-03,89.8,-2.41,5.37,"Ramírez, Harold",623912,543135,,foul,7.0,Harold Ramírez strikes out swinging.,R,R,TB,TEX,S,,,0,0,-1.26,-0.12,-0.79,1.9,,,,2,7,Bot,,,641680,,6.73091268810854,-130.599565195163,-2.33438180168695,-15.8547371097092,28.4459671272625,-33.2230410563873,3.25,1.49,3.0,78.7,-36.0,90.4,1627.0,6.7,745114,665120,543760,677649,669701,694671,665750,666969,53.75,,,,,,,,50,1,Split-Finger,0,1,0,1,1,0,0,1,Standard,Standard,246.0,0.0,-0.015,76.8930827061116,7.8875
CU,2024-04-03,77.6,-2.23,5.51,"Palacios, Richie",680700,543135,strikeout,swinging_strike,13.0,Richie Palacios strikes out swinging.,L,R,TB,TEX,S,2.0,,2,2,0.51,-0.81,-0.12,1.45,,,,1,7,Bot,,,641680,,3.60230291580502,-112.881550512819,-0.188946421691277,3.56549256101613,22.945354560471,-39.2360615485853,3.36,1.59,,,,77.9,1942.0,6.8,745114,665120,543760,677649,669701,694671,665750,666969,53.7,,0.0,0.0,1.0,0.0,0.0,,49,7,Curveball,0,1,0,1,1,0,0,1,Infield shade,Standard,48.0,-0.035,-0.143,68.4525228999346,8.36484
FS,2024-04-03,90.2,-2.42,5.4,"Palacios, Richie",680700,543135,,foul,7.0,Richie Palacios strikes out swinging.,L,R,TB,TEX,S,,,2,2,-1.34,-0.06,-0.7,1.75,,,,1,7,Bot,,,641680,,7.17523499984703,-131.24938655173,-3.00942006857615,-17.0218129492371,27.2438420925707,-32.4704183826762,3.36,1.59,122.0,71.5,23.0,90.7,1752.0,6.6,745114,665120,543760,677649,669701,694671,665750,666969,53.93,,,,,,,,49,6,Split-Finger,0,1,0,1,1,0,0,1,Infield shade,Standard,242.0,0.0,0.0,70.4246235142928,7.32158
FF,2024-04-03,96.4,-2.44,5.35,"Palacios, Richie",680700,543135,,ball,11.0,Richie Palacios strikes out swinging.,L,R,TB,TEX,B,,,1,2,-1.14,1.19,-0.86,4.0,,,,1,7,Bot,,,641680,,6.73989301396259,-140.274668037101,-0.718289400867177,-16.5285646499793,31.9318053540221,-16.4930091416654,3.35,1.59,,,,95.8,2333.0,6.0,745114,665120,543760,677649,669701,694671,665750,666969,54.54,,,,,,,,49,5,4-Seam Fastball,0,1,0,1,1,0,0,1,Infield shade,Standard,232.0,0.0,0.024,,
FF,2024-04-03,97.2,-2.51,5.18,"Palacios, Richie",680700,543135,,foul,5.0,Richie Palacios strikes out swinging.,L,R,TB,TEX,S,,,1,2,-1.39,0.99,0.02,2.17,,,,1,7,Bot,,,641680,,10.1148800576463,-141.032751795666,-4.81984967516329,-20.9525828402327,34.1253675637337,-18.0545674957844,3.36,1.59,189.0,69.4,42.0,98.3,2333.0,7.2,745114,665120,543760,677649,669701,694671,665750,666969,53.3,,,,,,,,49,4,4-Seam Fastball,0,1,0,1,1,0,0,1,Infield shade,Standard,233.0,0.0,0.0,69.8609775363941,6.53723
FS,2024-04-03,89.3,-2.42,5.29,"Palacios, Richie",680700,543135,,called_strike,6.0,Richie Palacios strikes out swinging.,L,R,TB,TEX,S,,,1,1,-1.18,-0.07,0.63,2.18,,,,1,7,Bot,,,641680,,10.0169879482335,-129.766229726491,-1.49553521691487,-15.367051442911,26.8224754975014,-32.8104903667636,3.35,1.56,,,,89.6,1814.0,6.6,745114,665120,543760,677649,669701,694671,665750,666969,53.95,,,,,,,,49,3,Split-Finger,0,1,0,1,1,0,0,1,Standard,Standard,248.0,0.0,-0.038,,
FF,2024-04-03,96.8,-2.31,5.33,"Palacios, Richie",680700,543135,,ball,14.0,Richie Palacios strikes out swinging.,L,R,TB,TEX,B,,,0,1,-1.37,0.79,1.2,1.86,,,,1,7,Bot,,,641680,,12.4312626278719,-140.295123894506,-5.45781422838973,-21.0073880449179,32.5470606177167,-20.5864133598917,3.48,1.64,,,,96.3,2326.0,6.3,745114,665120,543760,677649,669701,694671,665750,666969,54.25,,,,,,,,49,2,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,231.0,0.0,0.019,,
FC,2024-04-03,90.9,-2.46,5.36,"Palacios, Richie",680700,543135,,called_strike,8.0,Richie Palacios strikes out swinging.,L,R,TB,TEX,S,,,0,0,0.01,0.64,-0.06,1.66,,,,1,7,Bot,,,641680,,5.96464734206366,-132.205290145161,-4.68511647480179,-1.19532164920749,29.6661618879725,-23.8144619261763,3.35,1.58,,,,90.4,2346.0,6.1,745114,665120,543760,677649,669701,694671,665750,666969,54.4,,,,,,,,49,1,Cutter,0,1,0,1,1,0,0,1,Standard,Standard,199.0,0.0,-0.024,,
FS,2024-04-03,89.4,-2.51,5.32,"Paredes, Isaac",670623,543135,strikeout,swinging_strike,14.0,Isaac Paredes strikes out swinging.,R,R,TB,TEX,S,2.0,,2,2,-1.21,-0.31,0.17,1.21,,,,0,7,Bot,,,641680,,9.12181668525402,-129.866030359934,-3.42339069803932,-15.5986785894577,27.7491773474722,-35.1318894137516,3.26,1.56,,,,88.9,1747.0,6.1,745114,665120,543760,677649,669701,694671,665750,666969,54.36,,0.0,0.0,1.0,0.0,0.0,,48,6,Split-Finger,0,1,0,1,1,0,0,1,Standard,Standard,241.0,-0.049,-0.201,64.5821536604988,8.87139
CU,2024-04-03,78.2,-2.14,5.57,"Paredes, Isaac",670623,543135,,foul,5.0,Isaac Paredes strikes out swinging.,R,R,TB,TEX,S,,,2,2,0.77,-0.41,-0.18,2.36,,,,0,7,Bot,,,641680,,2.81967109237809,-113.813447780483,0.712894683976202,6.17035839349354,21.2512489964474,-36.0537478550004,3.26,1.56,344.0,96.0,39.0,78.5,1858.0,6.5,745114,665120,543760,677649,669701,694671,665750,666969,53.99,,,,,,,,48,5,Curveball,0,1,0,1,1,0,0,1,Standard,Standard,47.0,0.0,0.0,62.4485185581971,8.25271
FS,2024-04-03,90.0,-2.29,5.37,"Paredes, Isaac",670623,543135,,ball,14.0,Isaac Paredes strikes out swinging.,R,R,TB,TEX,B,,,1,2,-1.36,0.03,0.88,-0.33,,,,0,7,Bot,,,641680,,10.7021282495678,-130.382796436949,-8.15738982033563,-17.7724885172533,28.521755799213,-30.1255895510951,3.27,1.5,,,,89.5,1774.0,6.3,745114,665120,543760,677649,669701,694671,665750,666969,54.21,,,,,,,,48,4,Split-Finger,0,1,0,1,1,0,0,1,Standard,Standard,241.0,0.0,0.034,,
FS,2024-04-03,89.9,-2.36,5.36,"Paredes, Isaac",670623,543135,,swinging_strike,8.0,Isaac Paredes strikes out swinging.,R,R,TB,TEX,S,,,1,1,-1.31,-0.09,-0.24,1.47,,,,0,7,Bot,,,641680,,8.14406531260848,-130.66880216986,-3.47084615025065,-16.7806295559156,28.8235071577214,-32.6154629263921,3.26,1.56,,,,90.8,1667.0,7.0,745114,665120,543760,677649,669701,694671,665750,666969,53.49,,,,,,,,48,3,Split-Finger,0,1,0,1,1,0,0,1,Standard,Standard,245.0,0.0,-0.047,69.8544270509468,8.61395
